FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Redable
09b6bb0c2e39e1418b4422c138bd0865cf8950bc.yml,43,0.0277777777777777,0.1395348837209302,0.7222222222222222,0.0232558139534883,1.1666666666666667,0.0,0.0,0.0,2.888888888888889,0.6190476190476191,35.55813953488372,3.388888888888889,0.0,105.0,4.023809523809524,0,0,6,691,116,81,0,107,0
bb266fb5f843a2791d9227df71563a958eafc256.yml,32,0.1052631578947368,0.0625,0.4736842105263157,0.34375,0.9473684210526316,7.0,0.0625,0.0,1.4736842105263157,0.4285714285714285,24.9375,0.7368421052631579,0.0,18.33333333333333,2.571428571428572,7,1,4,64,4,25,3,23,1
57a3b89eed2cf62a6d54890e1d094023f1fb3f3b.yml,21,0.0,0.0,0.5,0.5238095238095238,1.1,0.0,0.0,0.0,1.0,0.5,31.904761904761905,1.3,0.0,18.33333333333333,2.9,0,0,2,63,4,19,0,23,0
ff1a0c032d42f7978228c9f00d669c83c6275e30.yml,74,1.5263157894736843,0.2027027027027027,0.7105263157894737,0.2837837837837837,3.473684210526316,9.571428571428571,0.581081081081081,0.0,2.2666666666666666,0.490566037735849,53.810810810810814,2.763157894736842,0.0,51.083333333333336,4.466666666666667,13,7,6,333,32,263,11,92,1
98cb8e8c116c79a880708743cfa1766885914b56.yml,73,1.5675675675675675,0.2054794520547945,0.7297297297297297,0.2876712328767123,3.5405405405405403,9.571428571428571,0.589041095890411,0.0,2.272727272727273,0.5,53.72602739726028,2.8378378378378377,0.0,50.09090909090909,4.440677966101695,13,7,6,333,32,261,10,92,0
aa5068f5e44300a8a9da188302846be520ed3e42.yml,107,1.3015873015873016,0.1962616822429906,0.5873015873015873,0.2149532710280373,3.6984126984126986,9.444444444444445,0.5981308411214953,0.0,2.388888888888889,0.4166666666666667,49.22429906542056,2.3492063492063493,0.1587301587301587,51.95454545454545,4.838709677419355,13,8,6,356,18,332,10,158,1
d5d05dcfa174d236e7ac36b6d01a855715d50192.yml,108,1.3015873015873016,0.2037037037037037,0.5873015873015873,0.2129629629629629,3.6666666666666665,9.444444444444445,0.5925925925925926,0.0,2.388888888888889,0.4117647058823529,48.657407407407405,2.3015873015873014,0.1587301587301587,51.95454545454545,4.776595744680851,13,8,6,356,18,332,10,158,0
2696930ed381eb522fa92ae8b09d28e4d4889d40.yml,106,1.3015873015873016,0.1886792452830188,0.5873015873015873,0.2169811320754717,3.7142857142857135,9.444444444444445,0.6037735849056604,0.0,2.388888888888889,0.4216867469879518,49.783018867924525,2.3492063492063493,0.1587301587301587,51.95454545454545,4.902173913043479,13,8,6,359,18,334,10,158,1
40cfc5a408de49214ab77d31273afde7188a4cea.yml,107,1.3015873015873016,0.1962616822429906,0.5873015873015873,0.2149532710280373,3.6825396825396814,9.444444444444445,0.5981308411214953,0.0,2.388888888888889,0.4166666666666667,49.20560747663552,2.3015873015873014,0.1587301587301587,51.95454545454545,4.838709677419355,13,8,6,359,18,334,10,158,0
fca7d40019cb11137a124e3bf7075c93cc9568d9.yml,177,1.1452991452991452,0.1299435028248587,0.6153846153846154,0.2090395480225988,2.5811965811965814,12.916666666666666,0.5649717514124294,0.0785714285714285,2.9,0.4642857142857143,51.9774011299435,1.290598290598291,0.5982905982905983,75.51162790697674,6.306748466257669,13,13,10,416,15,471,12,206,1
