repo,before,after,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
getsentry/raven-ruby,65fc97fda23292615876c587e450c5a001dcef05,42217e237a9fd51f4df11a7c4e6a88e2f3c8f875,0.0,0.027777777777777776,0.0,0.02777777777777779,0.0,0.0,0.0,0.025,0.0,0.11111111111111116,0.02499999999999991,0.125,0.0,0.0,0.0,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
ppy/osu-web,e9bec14b6a6edb88dcb905b12ed7a72dd5d0028a,48272b905eb58e56c3598616f355de0e22bb54bc,-1.0,-0.020634920634920673,0.004040404040404039,-0.01428571428571429,0.0010101010101010097,0.005555555555555536,0.35555555555555607,-0.03838383838383841,0.0,-0.05105105105105112,-0.01374207188160681,0.02525252525252597,-0.09761904761904766,0.006349206349206354,0.5,-0.04444444444444429,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
FluidTYPO3/flux,b98a79d69a9dd37dd02e575d22c6c2e841512ed4,6ea21e516bb2ade0f5a2dd68e707d9c686c85926,-1.0,0.00886524822695034,0.0023796932839767193,0.008421985815602828,0.0013220518244315138,0.030585106382978733,0.0,0.0021152829190904388,0.0042517006802721136,-0.0029761904761904656,0.005952380952380987,0.383659439450021,0.02969858156028371,0.01773049645390068,1.736742424242422,0.03297035692679984,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
ros-visualization/rviz,571fb03daa77c629b2484655df5e10242188ccda,59735f979a2414748bab4395a72f6974faf6e571,3.0,-0.015000000000000013,-0.015151515151515138,0.09166666666666667,0.05454545454545455,-0.013333333333333197,0.0,-0.033333333333333326,0.0,-0.07333333333333325,0.08045977011494254,3.0636363636363626,-0.0016666666666666635,-0.003333333333333327,2.0,-0.018390804597701482,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
Hygieia/Hygieia,27ff5c6442b4ee4ee1ac9ca437adc268cced85e7,4c2a4da3df4216a342be5b4f4a7b1c3209adc53c,5.0,0.0,-0.013757861635220137,-0.0641025641025641,-0.013757861635220137,0.029137529137529095,0.0,0.0,0.0,0.4574592074592072,-0.04688832054560954,1.1540880503144635,-0.046620046620046596,0.0,0.0,0.400682011935209,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
wesnoth/wesnoth,defb9e5051ca54b4d3a63a25ee8d2407a71ea5f8,1fad866dc758eb2a43f0bfa70a7b016308f44679,-7.0,0.03182137834036569,0.009415505013450731,-0.04518284106891701,0.004279775006113963,0.09950773558368486,0.0,-0.03741746148202495,0.02584388185654013,-0.06856540084388207,-0.047925033467202116,1.8711176326730197,0.057665260196905876,0.07137834036568214,0.0,0.1352074966532797,0.0,0.0,0.0,0.0,0.0,-6.0,-4.0,0.0
jazzband/django-taggit,dbe49ff6e826961ad1ebaf528eec6eac8347b7f6,ccbc0016664c71b171da243b1c3247a092d64032,-16.0,-0.12337406385494679,0.03014128728414442,-0.18171068190776507,0.0,-0.257390618841151,0.0,-0.1240188383045526,0.0,0.3437130469057941,-0.19309262166405028,-0.5789638932496075,-0.2715806070161606,0.0,13.416666666666664,-0.06844583987441144,0.0,0.0,6.0,49.0,28.0,-26.0,-16.0,0.0
date-fns/date-fns,61fe187cbda6bccce8ce1ef844ad1c69ce73b12a,bb9fd453d1579e7e99bc0cce56067e1982655e30,11.0,0.0,0.08450704225352113,0.0,0.06784037558685446,0.0,0.0,0.0,0.0,0.17419354838709689,-0.0625814863102998,-2.6507042253521114,-0.03389830508474567,0.0,0.0,-0.12941176470588234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
json-c/json-c,f357081b577df8e39421e03aa1f6566c9d2e9f02,96bb3346500227ff8c04ae5c935b3989d099bf10,-12.0,0.01075819672131148,0.0013338668800854103,0.025358606557377095,0.002000800320128053,-0.012679303278688492,0.0,0.0016006402561024383,0.002886002886002881,0.20057720057720108,0.009755016073606043,0.14279044951313846,-0.013447745901639357,-0.022797131147540978,1.5476190476190474,0.06379589147751075,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
karelzak/util-linux,99fcafdf5f9c8cf7dedeeb1246210013da58dfd7,1091e83e8469c2bb2bc75cb908b6ae9a22919025,2.0,0.02873563218390804,-0.01134429948950652,-0.013793103448275834,0.020986954055587065,0.04367816091954013,-1.75,-0.0034032898468519535,0.0,-0.025415444770283457,-0.0076923076923077205,0.717526942711288,-0.004597701149425287,0.0,2.2777777777777786,0.19625638116846278,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0
jay0lee/GAM,bdbe034c13daaeccd608ea793283dbc8b66f6a6e,fa4f18b59e7266c1aacbf883d5516f3a76c0d315,-4.0,0.012203861826074469,0.0005247671345840269,-0.008681941970227425,0.0005997338680960307,0.017773409505088322,0.0,0.0020241018048241105,0.007043839711693978,-0.06814505395499282,-0.009388226240861886,1.6869014374871227,0.2154923521100809,0.017855314618014928,0.0,0.03909195844555491,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
nest/nest-simulator,b0002e4881211e3e423b4c9b7f700a51b3ffed88,37238a17e6eb3221189950ee750f961802311446,9.0,-0.041244176486708695,-0.012209302325581373,-0.030693340641271605,0.0032945736434108752,-0.09742395176760765,0.0,-0.020930232558139528,0.0,0.163586850807236,-0.019770520741394515,-1.0352713178294586,-0.04508084406686763,0.0,-1.3682539682539705,-0.05718670759375444,0.0,-2.0,2.0,-61.0,-1.0,0.0,0.0,-68.0
Atlantic18/DoctrineExtensions,0dcca0aa8e13d23b7e2bc9e08147448d8faa84c4,430728af28d3707298ab56a21d56eae562efa66f,-1.0,0.0,0.01633986928104575,-0.03205128205128205,0.0,-0.0064102564102564985,0.0,0.0,0.0,-0.0641025641025641,-0.0326797385620915,-1.6601307189542496,0.025641025641025605,0.0,-5.5,-0.12418300653594772,0.0,0.0,0.0,-4.0,0.0,-4.0,0.0,-10.0
