Delta,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
c5f227505d786af28552e59bd6350503991da14f.yml => 5766bc3888978ad0346137073aeb08aeddfcbb95.yml,-12,0.0,-0.006386066763425208,0.0,-0.1468795355587809,0.0,0.0,0.0174165457184325,0.0,0.0,0.013318534961154316,-1.1329462989840344,0.0,0.0,0.0,0.117647058823529,0,0,0,-1,0,0,-1,0
0be6d079d1bdb458fee3f5bb42b49974a11c1762.yml => 7171ce4ffeb7eb18c344041ba164e8823877ad91.yml,-2,-0.14126807563959948,0.011088011088011107,-0.06562847608453831,0.0,0.027808676307007785,-2.916666666666668,-0.0457380457380457,0.0,-0.04449388209121241,0.019404019404019424,-2.7283437283437273,-0.16240266963292543,0.0,0.0,0.006930006930006893,-19,0,0,-6,0,-13,0,0
154e4cbed889d9bbcc9dc7d1e8909c670572df67.yml => d559aed8f0cc2a76401f1d29829eefb2af1ccea3.yml,-1,0.0074224021592443346,0.004251700680272086,0.008771929824561375,0.0,0.021592442645074206,0.0,0.002551020408163296,0.0,-0.013495276653171517,0.005527210884353706,0.42091836734693544,0.013495276653171406,0.0,3.242105263157896,0.0017006802721084568,0,0,0,0,0,-1,0,0
68a43d831288af74dd97d3d59c978887148db8f7.yml => 0a67629a603c354ce4326fa52a65f39534dd138f.yml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
6696b7ed5231ce6b918f055562ab7748def33aa6.yml => 756760a2f0c74ce1aab711037e7c6505825dfed9.yml,-4,0.0,-0.00793650793650802,-0.04195804195804198,-0.0555555555555555,0.15384615384615385,0.0,0.0,0.0,0.06493506493506496,-0.01680672268907568,0.9523809523809561,0.2657342657342656,0.0,0.0,0.2380952380952388,0,0,0,0,0,-2,0,0
24453d944bc3e8f6dca002680efff6ff7639da7e.yml => b47ffebe3b943cc5af799f7e9e5ef478f178eea3.yml,-2,0.0,0.0,-0.10526315789473678,-0.0681818181818182,0.0,0.0,0.0,0.0,0.06060606060606055,-0.05263157894736836,-1.727272727272723,-0.1578947368421053,0.0,0.09090909090909349,0.03030303030303072,0,0,0,0,-1,-2,0,0
0b22b1482cfa4d655ba56d416b1d3951a3ffaead.yml => fdadb8fb7b6be5147150d7f4c7077c34b835b3bb.yml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246385822,0.0,0.0,-0.6000000000000014,0.0,0,0,0,0,0,0,0,0
80154d02474a272e06864c405f92bfb0eef6c7c5.yml => 733cd82df249dcb979f0c14c48727a1e5597312f.yml,-4,0.036363636363636376,0.0,-0.009956709956709942,0.0008658008658008996,-0.03939393939393954,0.0,0.006060606060605989,0.012987012987013019,-0.10476190476190461,-0.013419913419913443,0.91774891774892,0.07705627705627704,0.08138528138528156,0.0,0.12337662337662358,0,0,0,0,0,-6,0,0
d5e42b67e19c888eb36bab9f274b47525208b81c.yml => 10a1c4416e62c7c48b37e38cdd6bea9bca1b27d2.yml,-13,0.01944444444444443,0.009956709956709997,-0.01944444444444443,-0.1341991341991342,0.02499999999999991,0.0,0.08138528138528141,-0.007170435741864295,0.17760617760617792,0.0021208907741251948,0.9242424242424185,0.002777777777777768,-0.07222222222222219,1.2965260545905721,0.20606060606060606,0,0,0,0,0,-6,-1,0
68a7e4f030210dcca69d0d89814f638c58ec8afd.yml => 2b1957e0d2bd13c80b21bab6dc2922690da68d7a.yml,-2,0.0,0.002768549280177196,0.0,-0.0227021040974529,0.0,0.0,0.005260243632336681,0.0,0.0,0.0,-0.34136212624584417,0.0,0.0,0.0,0.0,0,0,0,0,0,-3,0,0
